Country,Name,Official name,Citizen names
Not applicable,Akrotiri,Akrotiri,Not applicable
AI,Anguilla,Anguilla,Anguillan
BM,Bermuda,Bermuda,Bermudan
Not applicable,British Antarctic Territory,British Antarctic Territory,Not applicable
IO,British Indian Ocean Territory,The British Indian Ocean Territory,Not applicable
VG,British Virgin Islands,The Virgin Islands,British Virgin Islander
KY,Cayman Islands,Cayman Islands,"Cayman Islander, Caymanian"
Not applicable,Dhekelia,Dhekelia,Not applicable
FK,Falkland Islands,Falkland Islands,Falkland Islander
GI,Gibraltar,Gibraltar,Gibraltarian
MS,Montserrat,Montserrat,Montserratian
PN,"Pitcairn, Henderson, Ducie and Oeno Islands","Pitcairn, Henderson, Ducie and Oeno Islands",Pitcairn Islander or Pitcairner
SH,"St Helena, Ascension and Tristan da Cunha","St Helena, Ascension and Tristan da Cunha",St Helenian or Tristanian as appropriate. Ascension has no indigenous population
GS,South Georgia and South Sandwich Islands,South Georgia and the South Sandwich Islands,Not applicable
TC,Turks and Caicos Islands,Turks and Caicos Islands,Turks and Caicos Islander
